architecture,train_samples,train_type,run_1,run_2,run_3
SSDMobileNet,,pretrained,0.30089110603755154,0.30576231195838344,0.3086729141719223
SSDMobileNet,50.0,from_scratch,0.42542776489292167,0.4346016100844513,0.43836909561838694
SSDMobileNet,50.0,finetuned,0.9894925129838317,0.9862937111160806,0.9891191088532362
SSDMobileNet,100.0,from_scratch,0.5271949487076402,0.5041242977336912,0.5303519245531254
SSDMobileNet,100.0,finetuned,0.9915424772220015,0.9897544849924566,0.9900911934725198
SSDMobileNet,150.0,from_scratch,0.5494238320586126,0.5408683995505846,0.568204381200605
SSDMobileNet,150.0,finetuned,0.9918245713391723,0.9920192208610018,0.9915347976625571
SSDMobileNet,200.0,from_scratch,0.5907731570664376,0.5686210023244194,0.6019826248798634
SSDMobileNet,200.0,finetuned,0.9940144899909639,0.9921424783591819,0.9941756141648663
SSDMobileNet,400.0,from_scratch,0.6627394960051879,0.6965503977884876,0.6337970895689573
SSDMobileNet,400.0,finetuned,0.9961448800373447,0.9958694497081589,0.9961316417484717
SSDMobileNet,1000.0,from_scratch,0.8966443247891462,0.9437611487110175,0.9170922467410714
SSDMobileNet,1000.0,finetuned,0.9976988734270891,0.997487744760943,0.9983817411331187
SSDMobileNet,2000.0,from_scratch,0.9782199521825083,0.9782898955142416,0.9696160716527551
SSDMobileNet,2000.0,finetuned,0.9978467368328522,0.9975574490452254,0.998201791657342
SSDMobileNet,4000.0,from_scratch,0.9678763077570794,0.9820815799158239,0.985804164043489
SSDMobileNet,4000.0,finetuned,0.9981780000309486,0.9981211445341002,0.9976648689378156
SSDMobileNet,6000.0,from_scratch,0.9849957983199925,0.9825834448601857,0.9845747755582407
SSDMobileNet,6000.0,finetuned,0.9983281542929229,0.9981431220134018,0.9981859932133695
SSDMobileNet,7144.0,from_scratch,0.9814791521185611,0.9871044022738011,0.983943893655458
SSDMobileNet,7144.0,finetuned,0.998309417714866,0.998269357605785,0.9983830620596649
SSDResNet50,,pretrained,0.0805189825768709,0.0683691810388308,0.08561635660012802
SSDResNet50,50.0,from_scratch,0.8314306953755068,0.8710274750453346,0.8508353181397398
SSDResNet50,50.0,finetuned,0.9932551549266728,0.9935140083384628,0.9936631951392957
SSDResNet50,100.0,from_scratch,0.934980549198938,0.9587928722657174,0.9538436571145634
SSDResNet50,100.0,finetuned,0.9933649881066577,0.9943450340301911,0.9931024923821994
SSDResNet50,150.0,from_scratch,0.9717336940809287,0.9659960990013391,0.9710126234066639
SSDResNet50,150.0,finetuned,0.9939538322208173,0.994781179236024,0.9948714461209194
SSDResNet50,200.0,from_scratch,0.9827328250468914,0.985855439734022,0.9832482995580945
SSDResNet50,200.0,finetuned,0.9946035916083268,0.9946226489849006,0.9945514741891529
SSDResNet50,400.0,from_scratch,0.996398372603844,0.9952215667993921,0.9955874256028858
SSDResNet50,400.0,finetuned,0.995886751002417,0.9960723559093122,0.9968847926283556
SSDResNet50,1000.0,from_scratch,0.9983637696022856,0.9984104924032725,0.9978949210603283
SSDResNet50,1000.0,finetuned,0.9973139308575557,0.9968757329655787,0.997059696921291
SSDResNet50,2000.0,from_scratch,0.9984012366775529,0.9983141280444149,0.9985368201408398
SSDResNet50,2000.0,finetuned,0.9976916437849708,0.9975364087858344,0.9978959108644697
SSDResNet50,4000.0,from_scratch,0.9985152706105033,0.9985537705582787,0.9986912521046809
SSDResNet50,4000.0,finetuned,0.997665949296756,0.9979154255205197,0.9979775843808343
SSDResNet50,6000.0,from_scratch,0.9987963530552606,0.9988258960411686,0.9988875343651559
SSDResNet50,6000.0,finetuned,0.9980634184006152,0.9981894062276728,0.9981673739345263
SSDResNet50,7144.0,from_scratch,0.9985768508490658,0.998773073162192,0.9987006731826916
SSDResNet50,7144.0,finetuned,0.9981004273024019,0.9983084120278367,0.9980592649723392
