architecture,num_real_samples,num_fake_samples,train_type,run_1,run_2,run_3
SSDMobileNet,50,50,mixed,0.2441380123564024,0.27586593076251387,0.229097409401535
SSDMobileNet,50,100,mixed,0.2987497446046645,0.2518809570684684,0.2715868124992502
SSDMobileNet,50,200,mixed,0.28334258564024184,0.24879610928278584,0.27608041578682607
SSDMobileNet,50,400,mixed,0.2520818260659406,0.2477763548866699,0.28695902916856425
SSDMobileNet,50,50,finetuned,0.39630178505448244,0.4323981653393695,0.43505464854035086
SSDMobileNet,50,100,finetuned,0.4121925082858823,0.4386952683693469,0.4190506630480323
SSDMobileNet,50,200,finetuned,0.4511689521870552,0.4992707929278416,0.42594088438741856
SSDMobileNet,50,400,finetuned,0.4527745500415502,0.45511379568260135,0.47884760920201114
SSDResNet50,50,50,mixed,0.2832798714754402,0.2566773353347658,0.3038433987983713
SSDResNet50,50,100,mixed,0.2891594020256415,0.2437401197190319,0.29054367597874586
SSDResNet50,50,200,mixed,0.2360865300301137,0.2557303387443647,0.25521007766943643
SSDResNet50,50,400,mixed,0.25138787612205066,0.29620830361268863,0.2841221876819351
SSDResNet50,50,50,finetuned,0.39484512797931093,0.3863521183275943,0.38011037839465744
SSDResNet50,50,100,finetuned,0.4293285215190842,0.4431739625315819,0.4198062356128848
SSDResNet50,50,200,finetuned,0.4628257410645081,0.39017502845019825,0.4397195222079467
SSDResNet50,50,400,finetuned,0.48454526362230876,0.4665640478622909,0.4726459676808955
